date_year,price
1964,288
1965,264
1966,259
1967,239
1968,221
1969,203
1970,193
1971,165
1972,139
1973,139
1974,177
1975,179
1976,194
1977,197
1978,182
1979,193
1980,220
1981,232
1982,228
1983,278
1984,258
1985,286
1986,245
1987,223
1988,232
1989,238
1990,247
1991,260
1992,273
1993,219
1994,203
1995,205
1996,217
1997,228
1998,259
1999,252
2000,232
2001,231
2002,252
2003,240
2004,237
2005,233
2006,227
2007,240
2008,248
2009,235
2010,226
2011,218
2012,201
2013,211
2014,217
2015,237
2016,259
2017,243
2018,243
2019,255
2020,259
2021,248
2022,265