date_year,price,,
1964/4/1,111,,
1965/4/1,147,,
1966/4/1,133,,
1967/4/1,119,,
1968/4/1,148,,
1969/4/1,133,,
1970/4/1,152,,
1971/4/1,139,,
1972/4/1,161,,
1973/4/1,179,,
1974/4/1,208,,
1975/4/1,304,,
1976/4/1,489,,
1977/4/1,468,,
1978/4/1,409,,
1979/4/1,506,,
1980/4/1,522,,
1981/4/1,505,,
1982/4/1,476,,
1983/4/1,487,,
1984/4/1,425,,
1985/4/1,543,,
1986/4/1,509,,
1987/4/1,448,,
1988/4/1,444,,
1989/4/1,467,,
1990/4/1,502,,
1991/4/1,617,,
1992/4/1,663,,
1993/4/1,509,,
1994/4/1,515,,
1995/4/1,515,,
1996/4/1,487,,
1997/4/1,497,,
1998/4/1,472,,
1999/4/1,539,,
2000/4/1,501,,
2001/4/1,544,,
2002/4/1,450,,
2003/4/1,430,,
2004/4/1,472,,
2005/4/1,531,,
2006/4/1,472,,
2007/4/1,484,,
2008/4/1,469,,
2009/4/1,419,,
2010/4/1,456,,
2011/4/1,475,,
2012/4/1,573,,
2013/4/1,470,,
2014/4/1,513,,
2015/4/1,538,,
2016/4/1,590,,
2017/4/1,535,,
2018/4/1,574,,
2019/4/1,537,,
2020/4/1,683,,
2021/4/1,568,,
2022/4/1,676,,